grid,positionText,position_quali,sma_position,avg_pos_move
14,0,15,4.0,
3,1,3,3.4,
15,4,16,4.2,
9,3,10,5.4,
7,3,7,11.0,
11,4,12,11.333333333333334,
12,4,13,11.0,
0,3,19,6.8,
8,2,9,5.0,
17,4,8,10.0,
0,0,20,5.0,
1,1,1,2.2,
4,2,4,3.6,
2,1,2,1.4,
0,4,18,16.5,
6,0,6,6.4,
13,3,14,11.4,
10,0,11,2.2,
5,3,5,9.0,
16,4,17,15.5,
11,4,12,11.25,
8,3,8,10.4,
2,1,2,1.4,
7,3,7,4.2,
15,4,15,10.4,
0,4,16,6.8,
10,0,11,8.8,
19,4,19,15.8,
6,3,6,6.2,
14,4,14,9.6,
18,4,18,10.8,
5,2,5,4.6,
4,1,4,3.6,
1,1,1,1.6,
13,4,10,3.8,
16,0,17,8.8,
12,3,13,5.8,
3,2,3,3.8,
9,3,9,6.2,
17,4,20,16.8,
1,1,1,1.2,
12,4,12,8.6,
13,3,13,6.2,
4,1,4,3.4,
9,3,9,7.0,
19,4,19,15.6,
11,4,11,8.0,
7,3,8,5.6,
20,4,20,17.0,
17,4,18,10.2,
5,4,6,12.0,
2,1,2,2.0,
18,4,15,14.6,
14,4,14,11.4,
16,4,17,10.2,
6,3,7,5.6,
8,2,5,5.0,
3,2,3,3.8,
10,3,10,10.6,
15,0,16,3.6,
8,0,8,7.4,
13,0,14,7.8,
6,2,6,2.4,
16,4,17,13.0,
2,1,2,1.2,
17,3,18,9.2,
4,3,4,6.8,
10,3,12,5.2,
14,4,15,9.0,
1,1,1,2.8,
0,4,10,12.8,
3,1,3,3.6,
9,2,11,4.0,
12,4,13,14.2,
15,4,16,10.6,
11,4,9,9.2,
19,4,20,17.4,
7,3,7,9.4,
5,3,5,5.0,
18,4,19,15.8,
11,4,11,9.0,
17,4,18,9.4,
6,3,6,7.6,
4,2,4,4.0,
14,4,14,11.4,
1,1,1,1.2,
7,2,7,3.2,
16,4,17,10.8,
8,4,8,7.6,
13,3,13,11.0,
18,4,20,17.6,
20,4,19,16.4,
3,1,3,3.2,
10,4,10,15.2,
19,4,16,8.0,
5,3,5,5.6,
12,3,12,12.6,
15,4,15,13.6,
9,3,9,5.8,
2,1,2,2.4,
5,3,6,5.2,
18,4,13,9.8,
1,1,1,2.6,
8,3,9,7.2,
15,4,12,10.8,
12,4,14,10.0,
16,4,18,11.4,
17,4,20,18.4,
11,4,11,14.0,
9,2,10,3.4,
4,2,2,1.8,
19,3,15,7.8,
2,1,3,3.4,
13,4,16,12.4,
6,3,7,12.4,
14,4,17,10.4,
7,3,8,14.8,
3,1,4,2.8,
10,4,5,14.8,
0,4,19,17.0,
1,1,1,2.8,
15,4,15,12.8,
9,4,9,10.0,
16,0,16,13.4,
3,1,3,2.2,
5,2,5,6.8,
6,4,6,5.8,
14,0,14,12.0,
20,4,20,17.8,
17,3,17,11.4,
2,1,2,1.8,
4,2,4,3.8,
7,3,7,9.0,
10,3,10,10.2,
19,4,19,16.4,
11,0,11,11.6,
8,4,8,7.4,
18,4,18,13.0,
12,3,12,11.2,
13,3,13,7.4,
1,3,1,3.4,
2,1,2,3.2,
8,0,8,10.4,
17,4,18,15.6,
9,0,9,7.6,
13,0,13,7.2,
14,1,14,10.6,
18,3,19,16.2,
6,3,6,11.4,
20,1,20,5.8,
7,2,7,7.2,
15,2,15,10.6,
19,0,16,5.2,
5,4,5,10.2,
4,4,4,8.6,
3,0,3,2.2,
11,4,11,10.4,
10,0,10,2.2,
12,3,12,12.2,
16,3,17,9.6,
3,1,3,3.4,
12,3,12,11.6,
4,2,4,2.4,
1,1,1,2.6,
2,3,2,3.0,
17,4,14,11.4,
6,3,6,8.2,
14,4,15,11.4,
19,4,20,16.4,
5,1,5,6.0,
20,4,18,8.8,
9,0,9,8.6,
18,4,19,12.2,
13,4,13,11.6,
7,3,7,7.0,
10,3,10,8.6,
15,4,16,15.6,
16,4,17,10.2,
8,2,8,6.0,
11,4,11,8.6,
18,4,15,11.8,
4,1,4,3.2,
8,4,10,10.4,
13,3,16,8.0,
19,3,18,10.2,
16,3,13,11.6,
6,4,8,10.4,
11,4,12,7.4,
17,2,14,9.6,
3,1,3,3.6,
5,0,5,1.8,
1,1,1,2.0,
10,4,6,9.4,
9,4,11,7.2,
0,4,20,16.2,
2,2,2,5.8,
15,0,17,4.8,
12,3,7,8.6,
14,4,19,14.8,
7,3,9,9.0,
2,1,2,3.2,
16,3,14,8.2,
15,4,19,15.6,
11,0,12,6.6,
4,4,4,7.6,
8,3,8,7.8,
18,3,17,8.2,
7,0,7,3.2,
0,4,10,11.6,
6,2,6,7.0,
9,4,9,11.2,
3,1,3,3.0,
10,3,11,11.6,
13,4,16,7.2,
1,1,1,1.8,
12,0,13,6.8,
17,4,15,8.8,
5,2,5,7.8,
14,4,18,14.0,
19,3,20,3.2,
15,0,10,4.8,
16,4,16,11.2,
8,3,8,6.8,
12,0,13,10.0,
13,4,14,10.0,
2,2,2,3.8,
7,4,7,4.4,
10,3,11,13.6,
5,2,5,3.6,
3,1,3,4.6,
9,3,9,7.4,
19,4,19,15.8,
17,4,17,9.4,
1,1,1,1.6,
14,4,15,8.0,
18,0,18,11.2,
20,4,20,9.2,
6,3,6,6.6,
4,1,4,2.8,
11,3,12,9.6,
11,3,12,6.2,
5,3,6,4.6,
8,0,9,8.0,
16,4,11,9.6,
17,0,17,9.0,
19,4,20,9.8,
10,0,10,9.2,
9,2,4,3.4,
1,1,1,2.2,
4,1,5,4.0,
15,4,16,10.2,
14,4,15,12.6,
6,3,7,8.8,
12,4,13,14.0,
13,3,14,10.2,
18,0,18,13.8,
7,3,8,9.0,
0,2,19,6.4,
2,1,2,2.2,
3,0,3,4.2,
3,1,3,2.6,
15,0,15,6.4,
1,1,1,4.0,
8,4,8,9.4,
19,4,19,10.6,
4,1,4,2.6,
0,4,20,13.4,
18,4,18,9.0,
14,3,14,8.8,
2,3,2,2.6,
9,3,9,9.8,
10,4,10,10.6,
5,0,5,3.0,
16,0,16,6.4,
12,3,12,11.0,
6,2,6,5.2,
11,4,11,13.2,
13,4,13,11.2,
7,2,7,4.6,
17,3,17,5.6,
8,0,8,7.2,
1,2,2,3.2,
19,4,19,9.2,
14,0,14,8.0,
7,4,7,7.2,
11,3,11,5.8,
15,4,15,12.4,
20,4,20,13.6,
12,3,12,6.8,
5,2,5,5.2,
17,4,17,11.2,
4,3,1,4.2,
10,3,10,9.8,
18,4,18,11.4,
13,3,13,5.2,
9,4,9,9.6,
3,1,4,2.4,
6,1,6,2.6,
16,4,16,11.4,
2,1,3,3.6,
11,3,11,7.6,
2,0,2,1.0,
14,4,14,11.6,
0,3,19,6.4,
5,1,5,2.2,
19,0,20,10.2,
12,4,12,14.8,
1,1,1,2.4,
16,4,16,13.4,
17,4,17,7.2,
7,3,7,8.8,
6,2,6,5.0,
3,1,3,3.2,
9,3,9,5.6,
15,4,15,11.2,
4,2,4,3.8,
10,4,10,10.8,
