grid,positionText,last_1,last_2,avg_position_real
1,1,2,2,2.819672131147541
4,2,0,0,2.4715447154471546
2,1,2,4,7.787878787878788
19,2,1,1,6.016260162601626
5,3,4,0,7.059701492537314
3,3,1,2,6.297520661157025
7,3,3,3,7.205882352941177
6,3,3,0,6.8264462809917354
14,3,3,0,8.368421052631579
8,4,4,4,9.78048780487805
16,4,0,3,9.94059405940594
10,4,3,4,9.428571428571429
17,4,4,3,11.555555555555555
18,4,4,4,9.975609756097562
15,4,3,1,9.688524590163935
12,4,4,0,9.320754716981131
13,0,0,3,5.739837398373984
20,0,0,3,7.190476190476191
11,0,4,4,8.8
6,0,2,1,6.016260162601626
14,0,4,3,9.428571428571429
19,0,,,0.0
12,4,3,4,7.059701492537314
5,2,2,0,2.4715447154471546
7,3,0,0,7.190476190476191
9,3,0,0,5.739837398373984
13,3,3,3,6.8264462809917354
11,3,3,3,7.205882352941177
8,3,4,4,9.78048780487805
16,4,4,4,9.320754716981131
10,4,0,4,8.8
15,4,4,0,9.94059405940594
17,4,4,3,9.688524590163935
18,4,4,4,11.555555555555555
20,4,4,4,9.975609756097562
1,1,3,1,6.297520661157025
2,1,1,2,7.787878787878788
3,1,1,1,4.203252032520325
4,2,1,2,2.819672131147541
18,0,4,4,11.555555555555555
5,0,2,2,2.4715447154471546
10,0,3,0,7.190476190476191
8,4,3,3,6.8264462809917354
4,2,1,1,7.787878787878788
6,1,0,2,6.016260162601626
2,1,1,3,6.297520661157025
1,1,2,1,2.819672131147541
19,4,4,4,9.320754716981131
15,4,4,4,9.688524590163935
13,3,3,0,5.739837398373984
9,3,3,3,7.205882352941177
17,4,4,4,9.975609756097562
12,4,4,4,9.94059405940594
20,4,3,4,9.78048780487805
14,4,4,0,8.8
16,3,3,3,8.368421052631579
11,3,0,4,9.428571428571429
7,3,4,3,7.059701492537314
3,2,1,1,4.203252032520325
16,2,1,0,6.016260162601626
6,1,1,1,6.297520661157025
4,1,2,1,4.203252032520325
1,1,1,2,2.819672131147541
10,3,4,3,6.8264462809917354
13,3,0,2,2.4715447154471546
9,4,4,4,9.94059405940594
8,4,4,4,9.320754716981131
