grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,rolling_avg_pos_move_5,avg_position_real_rolling_5,propensity_1,propensity_0,sma_3
16,0,67.0,0,1,0,0,0,0,2.0,10.0,0.375,0.625,9.333333333333334
6,1,18.0,1,0,0,1,1,1,5.8,3.0,0.625,0.375,3.0
20,1,0.0,0,1,1,1,1,1,0.8,11.8,1.0,0.0,11.0
13,1,56.0,0,0,0,0,0,0,3.6,7.6,0.14285714285714285,0.8571428571428571,7.0
14,1,0.0,0,1,0,1,0,1,2.8,12.0,1.0,0.0,11.333333333333334
4,0,179.0,0,1,1,0,1,0,-3.4,6.2,0.5,0.5,3.3333333333333335
11,0,0.0,0,0,1,0,1,1,0.8,10.0,0.625,0.375,10.666666666666666
9,0,4.0,0,0,0,0,0,0,1.2,7.4,0.36363636363636365,0.6363636363636364,8.333333333333334
3,0,213.0,2,1,1,1,1,1,1.6,2.0,0.8,0.2,2.0
8,1,27.0,0,0,0,0,0,0,-0.2,8.4,0.1,0.9,8.0
12,1,10.0,0,1,1,0,0,1,3.6,10.8,0.75,0.25,10.666666666666666
7,0,47.0,0,1,0,1,0,0,0.2,10.0,0.4444444444444444,0.5555555555555556,12.0
1,1,220.0,5,0,1,0,0,1,0.0,3.0,0.5454545454545454,0.45454545454545453,3.0
13,1,138.0,0,0,0,0,0,0,2.8,4.4,0.16666666666666666,0.8333333333333334,4.666666666666667
14,1,55.0,0,0,1,0,1,0,-1.0,10.0,0.4,0.6,9.666666666666666
20,1,0.0,0,0,0,1,0,1,1.6,9.8,0.5555555555555556,0.4444444444444444,8.666666666666666
8,1,36.0,0,1,1,1,1,0,0.4,13.6,0.7777777777777778,0.2222222222222222,12.666666666666666
1,1,235.0,6,1,0,1,0,0,0.0,3.0,0.5833333333333334,0.4166666666666667,2.0
7,0,68.0,0,0,1,0,0,0,4.2,9.8,0.3333333333333333,0.6666666666666666,9.0
11,1,144.0,0,1,1,1,1,1,3.8,14.4,1.0,0.0,15.333333333333334
12,1,24.0,0,0,1,1,1,1,3.6,14.2,0.875,0.125,15.333333333333334
15,1,58.0,0,1,0,0,0,0,3.4,7.6,0.25,0.75,8.333333333333334
3,0,4.0,0,0,0,0,0,0,0.6,8.0,0.3333333333333333,0.6666666666666666,8.666666666666666
19,1,1.0,0,0,0,0,0,0,0.6,11.4,0.6,0.4,10.333333333333334
5,0,197.0,0,0,1,1,0,1,-2.8,5.6,0.45454545454545453,0.5454545454545454,3.0
2,0,11.0,0,1,1,1,1,1,3.8,10.8,0.8888888888888888,0.1111111111111111,13.666666666666666
16,0,24.0,1,1,0,0,1,1,6.0,3.0,0.6666666666666666,0.3333333333333333,3.6666666666666665
9,1,10.0,0,1,1,1,0,0,2.8,11.8,0.7777777777777778,0.2222222222222222,13.333333333333334
4,1,238.0,2,0,1,1,1,1,1.0,2.6,0.7272727272727273,0.2727272727272727,3.3333333333333335
10,0,31.0,0,1,0,0,0,0,-0.8,9.2,0.18181818181818182,0.8181818181818182,11.333333333333334
6,1,0.0,4,1,1,0,1,0,-0.8,3.2,0.75,0.25,3.3333333333333335
18,0,11.0,0,0,1,1,1,1,1.8,11.6,0.8,0.2,10.666666666666666
5,1,235.0,7,1,1,0,1,0,0.8,2.2,0.6153846153846154,0.38461538461538464,2.0
3,1,28.0,1,0,1,0,0,1,7.8,3.2,0.6,0.4,4.0
6,1,263.0,2,1,0,1,1,1,1.4,2.6,0.75,0.25,3.3333333333333335
12,0,31.0,0,0,1,0,0,0,-1.2,10.0,0.16666666666666666,0.8333333333333334,11.333333333333334
10,0,68.0,0,1,1,0,0,0,2.6,9.0,0.3333333333333333,0.6666666666666666,10.333333333333334
9,0,0.0,0,0,1,1,1,1,1.6,11.8,1.0,0.0,11.666666666666666
17,1,68.0,0,0,0,1,0,0,4.8,8.8,0.3,0.7,8.666666666666666
11,0,0.0,0,0,1,1,0,1,2.6,11.6,1.0,0.0,12.0
19,1,26.0,0,1,0,1,1,1,1.8,14.4,0.8888888888888888,0.1111111111111111,16.0
14,1,4.0,0,0,0,0,0,0,-0.2,8.0,0.3076923076923077,0.6923076923076923,8.0
15,0,8.0,0,1,0,0,1,0,1.8,10.8,0.6,0.4,11.666666666666666
7,0,0.0,0,0,0,1,1,1,0.8,10.8,0.8888888888888888,0.1111111111111111,10.333333333333334
5,0,281.0,2,1,1,0,1,1,2.0,3.0,0.7692307692307693,0.23076923076923078,3.3333333333333335
17,1,10.0,0,0,1,1,1,1,1.2,11.6,0.8,0.2,13.0
9,0,33.0,0,0,0,1,0,0,0.2,9.6,0.15384615384615385,0.8461538461538461,10.333333333333334
20,0,0.0,4,0,1,1,1,0,-0.2,3.0,0.7692307692307693,0.23076923076923078,2.0
19,1,177.0,0,0,1,1,1,1,1.2,15.8,1.0,0.0,16.666666666666668
4,1,32.0,1,1,0,1,0,0,6.2,3.4,0.6363636363636364,0.36363636363636365,3.0
6,1,4.0,0,1,0,0,0,0,0.4,8.4,0.35714285714285715,0.6428571428571429,8.333333333333334
3,1,138.0,1,0,1,0,0,0,0.8,5.8,0.2857142857142857,0.7142857142857143,6.333333333333333
16,1,8.0,0,0,1,0,0,1,2.4,10.0,0.5454545454545454,0.45454545454545453,10.333333333333334
8,1,57.0,0,0,1,0,1,0,-1.2,11.0,0.45454545454545453,0.5454545454545454,12.0
1,1,247.0,7,1,1,1,0,1,0.8,1.6,0.6428571428571429,0.35714285714285715,1.0
13,0,11.0,0,0,0,1,1,1,2.2,11.2,0.7272727272727273,0.2727272727272727,8.666666666666666
10,1,13.0,0,0,1,0,0,0,0.8,12.0,0.6666666666666666,0.3333333333333333,10.666666666666666
11,0,93.0,0,1,0,0,1,0,5.0,9.2,0.36363636363636365,0.6363636363636364,9.0
12,1,0.0,0,0,0,1,1,0,2.6,10.6,0.8888888888888888,0.1111111111111111,10.333333333333334
18,1,26.0,0,1,1,0,1,1,2.4,14.8,0.9,0.1,14.333333333333334
7,0,34.0,0,0,0,0,1,0,1.4,9.0,0.14285714285714285,0.8571428571428571,6.666666666666667
6,0,306.0,2,0,1,1,0,1,0.6,3.6,0.7142857142857143,0.2857142857142857,3.3333333333333335
4,1,148.0,1,1,0,1,0,0,0.8,5.0,0.375,0.625,5.333333333333333
1,1,247.0,8,1,1,1,1,0,0.6,1.8,0.6666666666666666,0.3333333333333333,1.3333333333333333
13,0,8.0,0,1,0,1,0,0,3.0,11.4,0.5833333333333334,0.4166666666666667,12.333333333333334
12,0,10.0,0,1,0,1,1,1,1.2,12.6,0.8181818181818182,0.18181818181818182,12.666666666666666
10,0,234.0,0,0,0,0,0,1,-0.6,3.8,0.4166666666666667,0.5833333333333334,3.6666666666666665
18,1,0.0,0,1,0,0,1,1,1.2,11.4,0.9,0.1,11.333333333333334
17,1,28.0,0,1,1,1,0,1,1.4,15.4,0.9090909090909091,0.09090909090909091,15.0
14,1,0.0,0,1,,,,,,,1.0,0.0,
9,1,0.0,0,0,0,0,1,1,0.6,9.8,0.8,0.2,9.333333333333334
20,1,13.0,0,1,0,1,0,0,1.6,11.8,0.7142857142857143,0.2857142857142857,11.333333333333334
3,1,32.0,1,1,1,0,1,0,6.2,3.4,0.6666666666666666,0.3333333333333333,3.0
5,0,4.0,0,1,1,0,0,0,-0.2,8.8,0.4,0.6,8.666666666666666
8,1,111.0,0,0,1,0,0,1,3.8,9.2,0.3333333333333333,0.6666666666666666,9.333333333333334
13,1,192.0,0,0,1,0,1,1,0.6,16.4,1.0,0.0,17.333333333333332
12,1,8.0,0,0,1,0,1,0,4.4,10.6,0.5384615384615384,0.46153846153846156,10.333333333333334
2,1,0.0,4,0,0,0,1,1,3.0,3.4,0.7142857142857143,0.2857142857142857,3.0
9,0,36.0,0,0,0,0,0,1,0.4,8.8,0.13333333333333333,0.8666666666666667,6.0
3,0,331.0,2,0,0,1,1,0,1.0,3.8,0.6666666666666666,0.3333333333333333,4.0
10,0,123.0,0,1,0,1,0,0,2.6,9.2,0.38461538461538464,0.6153846153846154,10.0
1,1,265.0,9,1,1,1,1,1,0.6,1.2,0.6875,0.3125,1.3333333333333333
16,0,163.0,1,1,1,0,1,0,1.4,4.4,0.4444444444444444,0.5555555555555556,4.333333333333333
17,1,10.0,0,0,1,0,1,1,1.2,11.8,0.75,0.25,10.333333333333334
6,0,5.0,0,0,1,1,0,0,-0.8,8.2,0.375,0.625,8.666666666666666
15,1,15.0,0,0,0,0,0,1,3.4,9.6,0.6666666666666666,0.3333333333333333,7.666666666666667
5,1,244.0,0,0,0,0,0,0,0.8,3.8,0.38461538461538464,0.6153846153846154,4.666666666666667
11,1,54.0,0,0,1,1,1,1,0.6,13.2,0.8,0.2,11.666666666666666
20,1,0.0,0,1,0,0,0,1,0.2,10.4,0.8181818181818182,0.18181818181818182,9.333333333333334
7,0,86.0,0,0,0,0,1,1,3.8,8.6,0.3,0.7,9.333333333333334
10,1,148.0,0,0,1,0,1,0,1.2,9.4,0.35714285714285715,0.6428571428571429,9.333333333333334
13,1,28.0,0,0,1,1,1,1,1.8,15.0,0.9166666666666666,0.08333333333333333,14.666666666666666
15,1,8.0,0,1,0,1,0,1,3.2,12.0,0.5714285714285714,0.42857142857142855,12.0
18,1,13.0,0,0,1,1,0,1,4.2,10.8,0.75,0.25,13.0
3,0,277.0,9,1,1,1,1,1,0.6,1.2,0.7058823529411765,0.29411764705882354,1.3333333333333333
