grid,positionText,position_standings,prev_points,prev_wins,prev_position_standings,last_positionText_1,last_positionText_2,last_positionText_3,last_positionText_4,last_positionText_5,last_positionText_6,last_positionText_7,last_positionText_8,last_positionText_9,last_positionText_10,propensity_top3_1,propensity_top3_0
20,0,13,24.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,5,128.0,0.0,5.0,0,1,1,0,0,0,1,0,1,0,0.3076923076923077,0.6923076923076923
3,0,8,47.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,0,12,18.0,0.0,13.0,0,0,0,0,1,0,0,0,0,0,0.07692307692307693,0.9230769230769231
6,1,2,220.0,4.0,1.0,1,1,0,1,0,0,1,1,1,1,0.6923076923076923,0.3076923076923077
12,0,16,5.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
17,0,19,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,10,34.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,17,4.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,1,213.0,5.0,2.0,1,0,1,0,0,1,0,1,0,1,0.5384615384615384,0.46153846153846156
11,0,20,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,1,3,179.0,2.0,3.0,0,1,1,1,1,1,0,0,1,1,0.6153846153846154,0.38461538461538464
19,0,18,5.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
11,0,16,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
12,0,7,58.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,0,5,138.0,0.0,5.0,0,0,1,1,0,0,0,1,0,1,0.2857142857142857,0.7142857142857143
7,0,10,34.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
16,0,14,11.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,19,4.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
17,0,11,31.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
15,0,13,24.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,0,6,68.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.9285714285714286
1,0,2,235.0,4.0,2.0,1,1,1,0,1,0,0,1,1,1,0.7142857142857143,0.2857142857142857
18,0,12,24.0,0.0,12.0,0,0,0,0,0,1,0,0,0,0,0.07142857142857142,0.9285714285714286
9,0,17,1.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,1,4,144.0,1.0,4.0,0,1,0,0,1,1,1,1,1,0,0.42857142857142855,0.5714285714285714
20,0,20,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
10,0,9,36.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,15,10.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,1,1,238.0,6.0,1.0,1,1,0,1,0,0,1,0,1,0,0.5714285714285714,0.42857142857142855
14,0,8,55.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
6,1,3,197.0,2.0,3.0,1,0,1,1,1,1,1,0,0,1,0.6428571428571429,0.35714285714285715
0,0,5,138.0,0.0,5.0,0,0,0,1,1,0,0,0,1,0,0.26666666666666666,0.7333333333333333
18,0,18,5.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,7,68.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,12,28.0,0.0,12.0,0,0,0,0,0,0,1,0,0,0,0.06666666666666667,0.9333333333333333
11,0,11,31.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,1,4,162.0,1.0,4.0,1,0,1,0,0,1,1,1,1,1,0.4666666666666667,0.5333333333333333
16,0,13,26.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,20,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
20,0,2,235.0,4.0,2.0,0,1,1,1,0,1,0,0,1,1,0.6666666666666666,0.3333333333333333
3,1,6,68.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.9333333333333333
17,0,15,11.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
6,0,8,56.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,3,212.0,2.0,3.0,1,1,0,1,1,1,1,1,0,0,0.6666666666666666,0.3333333333333333
14,0,9,48.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
10,0,16,10.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
12,0,17,8.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,1,263.0,7.0,1.0,1,1,1,0,1,0,0,1,0,1,0.6,0.4
8,0,10,34.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,14,7.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
16,0,20,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,9,48.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,1,4,177.0,1.0,4.0,1,1,0,1,0,0,1,1,1,1,0.5,0.5
5,0,8,57.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
