grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,last_6,last_7,last_8,last_9,last_10,rolling_avg_pos_move_10,propensity_1,propensity_0
13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0
6,0,205.0,2,0,1,0,0,1,0,0,0,0,0,2.0,0.16666666666666666,0.8333333333333334
19,0,200.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
20,0,0.0,0,0,0,0,,,,,,,,,0.0,1.0
18,0,28.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
7,0,22.0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0.0,1.0
20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.0,1.0
3,0,6.0,0,0,1,0,0,0,0,0,0,0,0,1.1,0.0,1.0
1,1,12.0,2,1,0,1,0,0,0,0,0,0,0,1.5,1.0,0.0
10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0
19,0,10.0,0,0,,,,,,,,,,,0.0,1.0
11,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
14,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.0,1.0
8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0
12,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
9,0,50.0,0,0,0,0,0,1,1,0,1,1,1,1.2,0.0,1.0
18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.0,1.0
7,0,18.0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0.0,1.0
12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.0,1.0
5,0,22.0,0,0,0,0,0,1,0,0,1,0,0,1.8,0.0,1.0
10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.0,1.0
14,0,40.0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.0,1.0
15,0,0.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
9,0,6.0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0,1.0
11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
2,0,45.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
16,0,2.0,0,0,0,,,,,,,,,,0.0,1.0
13,0,37.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,1.0
8,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
1,0,33.0,2,1,1,0,1,0,0,0,0,0,0,1.9,1.0,0.0
6,1,30.0,1,0,0,0,0,0,0,0,0,0,0,5.3,0.0,1.0
17,0,11.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
4,0,54.0,0,0,0,0,0,0,1,1,0,1,1,1.8,0.0,1.0
19,0,1.0,0,0,0,,,,,,,,,,0.0,1.0
20,0,12.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
3,0,22.0,0,0,0,1,0,0,0,0,0,0,0,1.4,0.0,1.0
12,0,37.0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.0,1.0
10,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.0,1.0
8,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
1,0,0.0,2,0,1,1,0,1,0,0,0,0,0,1.2,0.6666666666666666,0.3333333333333333
2,1,0.0,1,0,0,0,0,0,0,1,1,0,1,1.8,0.0,1.0
6,0,70.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
17,0,11.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
9,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0,1.0
18,0,12.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
16,0,40.0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.0,1.0
19,0,4.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.0,1.0
13,0,1.0,0,0,0,0,,,,,,,,,0.0,1.0
3,0,0.0,2,0,0,1,1,0,1,0,0,0,0,0.9,0.5,0.5
2,0,22.0,0,0,0,0,0,1,0,0,0,0,0,1.3,0.0,1.0
19,0,2.0,0,0,0,0,0,,,,,,,,0.0,1.0
18,0,9.0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.0,1.0
15,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
1,1,78.0,2,1,0,0,0,0,0,0,1,1,0,1.5,0.25,0.75
6,0,48.0,1,0,1,0,0,0,0,0,0,0,0,4.9,0.5,0.5
5,0,32.0,0,0,0,0,0,0,0,1,0,0,1,1.8,0.0,1.0
14,0,1.0,0,0,0,0,0,,,,,,,,0.0,1.0
9,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.0,1.0
20,0,4.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
